,endTime,artistName,trackName,msPlayed
0,2021-03-23 19:18,Sia,Together,0
1,2021-03-23 19:18,Lewis Capaldi,Before You Go,0
2,2021-03-23 19:18,Maroon 5,It Was Always You,0
3,2021-03-23 19:18,Justin Timberlake,Suit & Tie (feat. JAY Z) (feat. Jay-Z) - [Radio Edit],382
4,2021-03-23 19:18,Imagine Dragons,I’m So Sorry,0
5,2021-03-23 19:18,John Legend,Preach,0
6,2021-03-23 19:18,Charlie Puth,Marvin Gaye (feat. Meghan Trainor),42
7,2021-03-23 19:18,ZAYN,rEaR vIeW,138
8,2021-03-23 19:18,Ed Sheeran,How Would You Feel (Paean),0
9,2021-03-23 19:18,John Legend,Conversations in the Dark,0
10,2021-03-23 19:18,Pentatonix,"Any Way You Want It (World Championship Medley) - From ""Pitch Perfect 2"" Soundtrack",0
11,2021-03-23 19:18,Fitz and The Tantrums,123456,0
12,2021-03-23 19:18,Charlie Puth,BOY,0
13,2021-03-23 19:18,Kenzie Nimmo,These Four Walls,0
14,2021-03-23 19:18,Eminem,Mockingbird,0
15,2021-03-23 19:19,Niall Horan,Since We're Alone,0
16,2021-03-23 19:19,Fitz and The Tantrums,Burn It Down,0
17,2021-03-23 19:19,Lewis Capaldi,Hold Me While You Wait,0
18,2021-03-23 19:19,Ava Max,My Way,0
19,2021-03-23 19:19,ZAYN,Entertainer,103
20,2021-03-23 19:19,Ed Sheeran,Dive,0
21,2021-03-23 19:22,Zara Larsson,Rooftop,0
22,2021-03-23 19:22,The Treblemakers,Trebles Finals: Bright Lights Bigger City/Magic,393
23,2021-03-23 19:22,ZAYN,Entertainer,202600
24,2021-03-23 19:22,Ed Sheeran,Dive,11600
25,2021-03-23 19:25,The Treblemakers,Trebles Finals: Bright Lights Bigger City/Magic,154560
26,2021-03-23 19:26,Zara Larsson,Rooftop,10839
27,2021-03-23 19:31,The Treblemakers,Trebles Finals: Bright Lights Bigger City/Magic,154482
28,2021-03-24 05:22,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),8790
29,2021-03-24 05:27,Ed Sheeran,Perfect,263400
30,2021-03-24 05:29,Jonas Blue,Polaroid,136610
31,2021-03-24 05:32,Katy Perry,Daisies,174312
32,2021-03-24 05:36,The Girl and The Dreamcatcher,Glowing in the Dark,236220
33,2021-03-24 05:40,Dan + Shay,"10,000 Hours (with Justin Bieber) - Piano",172320
34,2021-03-24 05:43,Lukas Graham,Love Someone,205440
35,2021-03-24 05:46,Adam Christopher,"f**k, I'm lonely - Acoustic",141886
36,2021-03-24 05:50,Miavono,You Get Me,226620
37,2021-03-24 05:55,The Icarus Account,Oceans Between Us,275702
38,2021-03-24 05:58,Fancy Cars,I'll Follow - Acoustic Version,198438
39,2021-03-24 06:02,Justin Bieber,Intentions (feat. Quavo),212866
40,2021-03-24 06:05,LIVVIA,Beautiful Escape,195840
41,2021-03-24 06:10,Dahl,Can I Kiss You?,207646
42,2021-03-24 06:12,Chester See,Mr Brightside - Acoustic,159230
43,2021-03-24 06:16,Hills x Hills,You Feel Like Home,201412
44,2021-03-24 06:19,Dean Lewis,Be Alright,196493
45,2021-03-24 06:24,Will Post,The Kindest Thing,232814
46,2021-03-24 06:27,Brody Ray,Stand in the Light,199000
47,2021-03-24 06:31,Avril Lavigne,Head Above Water,220850
48,2021-03-24 06:32,Adam Lang,Locked Away,31459
49,2021-03-24 06:32,Parker,Stand Up,0
50,2021-03-24 06:32,Malia Civetz,Little Victories (Acoustic),140
51,2021-03-24 06:32,James Smith,Say You'll Stay,1490
52,2021-03-24 06:32,Samuel Allen,Snowglobe,310
53,2021-03-24 06:32,Liam Payne,Live Forever (With Cheat Codes),350
54,2021-03-24 06:32,Maximillian,Beautiful Scars,10
55,2021-03-24 06:32,Niall Horan,"Fool's Gold - Recorded At RAK Studios, London",0
56,2021-03-24 06:36,Ben Platt,Grow As We Go,249426
57,2021-03-24 06:40,Ben Platt,Vienna,209631
58,2021-03-24 06:44,Ben Platt,In Case You Don't Live Forever,228960
59,2021-03-24 06:48,Ben Platt,If I Could Tell Her,248653
60,2021-03-24 06:53,Ben Platt,River,247606
61,2021-03-24 06:57,Ben Platt,Everything I Did to Get to You (from Songland),187534
62,2021-03-24 07:03,Ben Platt,You Will Be Found,360906
63,2021-03-24 07:07,Ben Platt,Waving Through A Window,236809
64,2021-03-24 07:11,Ben Platt,RAIN,213868
65,2021-03-24 07:15,Ben Platt,Run Away,217933
66,2021-03-24 07:19,Ben Platt,So Will I,251424
67,2021-03-24 07:23,Ben Platt,Older,207413
68,2021-03-24 11:17,Ben Platt,Everything I Did to Get to You (from Songland),1442
69,2021-03-24 11:17,Ben Platt,Share Your Address,709
70,2021-03-24 11:17,Ben Platt,So Will I,165
71,2021-03-24 11:17,Ben Platt,So Will I,461
72,2021-03-24 11:17,Ben Platt,Temporary Love,1345
73,2021-03-24 11:17,Ben Platt,For Forever,10098
74,2021-03-24 11:18,Ben Platt,Everything I Did to Get to You (from Songland),80912
75,2021-03-24 11:20,Ben Platt,Everything I Did to Get to You (from Songland),106642
76,2021-03-24 11:22,Ben Platt,So Will I,113712
77,2021-03-24 19:18,Ben Platt,So Will I,7626
78,2021-03-24 19:19,Ben Platt,Everything I Did to Get to You (from Songland),5057
79,2021-03-24 19:19,Ben Platt,Temporary Love,1177
80,2021-03-24 19:20,Ben Platt,Everything I Did to Get to You (from Songland),50271
81,2021-03-25 10:53,Ben Platt,Ease My Mind,0
82,2021-03-25 10:54,Ben Platt,Bad Habit,540
83,2021-03-25 11:03,Ben Platt,Ease My Mind,156326
84,2021-03-25 11:05,Ben Platt,Ease My Mind,50780
85,2021-03-25 11:08,Sam Smith,Too Good At Goodbyes,201000
86,2021-03-25 11:09,Maroon 5,Memories,44480
87,2021-03-25 19:27,Ben Platt,Everything I Did to Get to You (from Songland),137112
88,2021-03-25 19:57,Ben Platt,So Will I,49017
89,2021-03-26 05:20,Maroon 5,Memories,41790
90,2021-03-26 05:24,Maroon 5,Memories,183561
91,2021-03-26 05:28,One Direction,Story of My Life,245493
92,2021-03-26 05:32,Eminem,Godzilla (feat. Juice WRLD),210800
93,2021-03-26 05:35,Zedd,The Middle,184732
94,2021-03-26 05:39,5 Seconds of Summer,Youngblood,203417
95,2021-03-26 05:42,Anne-Marie,2002,186986
96,2021-03-26 05:47,John Legend,All of Me,269560
97,2021-03-26 05:50,Alan Walker,Lily,195840
98,2021-03-26 05:54,Marshmello,FRIENDS,202620
99,2021-03-26 05:58,Ed Sheeran,Perfect,263400
100,2021-03-26 06:03,One Direction,Best Song Ever,200106
101,2021-03-26 06:06,Imagine Dragons,Demons,177506
102,2021-03-26 06:10,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",236001
103,2021-03-26 06:13,Shawn Mendes,Treat You Better,187973
104,2021-03-26 06:17,Hailee Steinfeld,Most Girls,204400
105,2021-03-26 06:20,Little Mix,Black Magic,12096
106,2021-03-26 06:20,Ava Max,Sweet but Psycho,187436
107,2021-03-26 06:25,The Chainsmokers,Closer,244960
108,2021-03-26 06:27,Ed Sheeran,Galway Girl,170826
109,2021-03-26 06:32,Lukas Graham,Love Someone,12457
110,2021-03-26 06:32,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),930
111,2021-03-26 06:32,Jonas Brothers,Sucker,1080
112,2021-03-26 06:32,John Legend,Conversations in the Dark,235653
113,2021-03-26 06:32,One Direction,Drag Me Down,450
114,2021-03-26 06:36,One Direction,Drag Me Down,192120
115,2021-03-26 06:39,Jonas Brothers,Sucker,181026
116,2021-03-26 06:39,Shawn Mendes,In My Blood,1540
117,2021-03-26 06:39,Meghan Trainor,Better When I'm Dancin',43183
118,2021-03-26 06:42,Lewis Capaldi,Someone You Loved,182160
119,2021-03-26 06:44,Rixton,Me And My Broken Heart,0
120,2021-03-26 06:44,MAX,Lights Down Low,0
121,2021-03-26 06:44,Zedd,Stay,7146
122,2021-03-26 06:44,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,420
123,2021-03-26 06:44,MKTO,Classic,290
124,2021-03-26 06:44,Demi Lovato,Sorry Not Sorry,0
125,2021-03-26 06:44,The Chainsmokers,Paris,0
126,2021-03-26 06:44,Little Mix,Shout Out to My Ex,3080
127,2021-03-26 06:44,ZAYN,There You Are,0
128,2021-03-26 06:47,Demi Lovato,Sorry Not Sorry,203760
129,2021-03-26 06:51,MAX,Lights Down Low,223846
130,2021-03-26 07:12,Shawn Mendes,If I Can't Have You,191466
131,2021-03-26 07:16,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,239000
132,2021-03-26 07:20,Andy Grammer,Don’t Give Up On Me,196187
133,2021-03-26 07:24,Daya,"Sit Still, Look Pretty",28189
134,2021-03-26 07:24,ZAYN,Entertainer,202600
135,2021-03-26 07:28,Zara Larsson,Lush Life,201122
136,2021-03-26 07:31,Shawn Mendes,Stitches,206880
137,2021-03-26 07:36,Parachute,Without You,228933
138,2021-03-26 07:50,Charlie Puth,One Call Away,194453
139,2021-03-26 07:54,The Chainsmokers,This Feeling,197946
140,2021-03-26 07:57,Troye Sivan,Strawberries & Cigarettes,201538
141,2021-03-26 08:01,Ed Sheeran,Happier,207520
142,2021-03-26 08:04,Andy Grammer,I Found You,151733
143,2021-03-26 08:08,Hailee Steinfeld,Capital Letters,219373
144,2021-03-26 08:11,Shawn Mendes,Mercy,208733
145,2021-03-26 08:16,Demi Lovato,Heart Attack,210840
146,2021-03-26 08:19,Charlie Puth,Done for Me (feat. Kehlani),180493
147,2021-03-26 08:22,Tori Kelly,Dear No One,197846
148,2021-03-26 08:25,Jonas Blue,Polaroid,193377
149,2021-03-26 08:30,Kurt Hugo Schneider,Just A Dream,20244
150,2021-03-26 08:30,Katy Perry,Never Really Over,223297
151,2021-03-26 09:22,Kurt Hugo Schneider,Just A Dream,750
152,2021-03-26 09:22,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),1600
153,2021-03-26 09:22,Selena Gomez,Lose You To Love Me,1150
154,2021-03-26 09:26,Zedd,Happy Now,207029
155,2021-03-26 09:28,5 Seconds of Summer,Easier,158098
156,2021-03-26 09:32,Taylor Swift,Blank Space,231826
157,2021-03-26 09:37,The Vamps,Just My Type,211360
158,2021-03-26 09:40,David Archuleta,Numb,168751
159,2021-03-26 19:48,Ben Platt,So Will I,842
160,2021-03-26 19:51,Ben Platt,Share Your Address,182466
161,2021-03-26 19:54,Ben Platt,Waving Through A Window,201423
162,2021-03-27 15:58,Ben Platt,Waving Through A Window,32880
163,2021-03-27 15:59,Ben Platt,Take Me To The Pilot - Live from Radio City Music Hall,8679
164,2021-03-27 16:05,Ben Platt,You Will Be Found,360905
165,2021-03-27 16:10,Ben Platt,River,247606
166,2021-03-27 16:14,Ben Platt,RAIN,213868
167,2021-03-27 16:18,Ben Platt,Bad Habit,262759
168,2021-03-27 16:20,Ben Platt,The Joke - Live from Radio City Music Hall,7906
169,2021-03-27 16:20,Ben Platt,Corner of the Sky,1076
170,2021-03-27 18:36,Pritam,"Aabaad Barbaad (From ""Ludo"")",103994
171,2021-03-28 19:47,Sachin-Jigar,"Kiston (From ""Roohi"")",5118
172,2021-03-28 19:47,Arijit Singh,"Oh Saaiyaan (From ""The Power"")",37169
173,2021-03-28 19:47,Pritam,"Aabaad Barbaad (From ""Ludo"")",205129
174,2021-03-29 18:21,Ben Platt,Grow As We Go,249426
175,2021-03-29 18:56,Ben Platt,Vienna,195953
176,2021-03-30 19:39,Ben Platt,Vienna,11030
177,2021-03-30 19:43,Ben Platt,In Case You Don't Live Forever,228959
