Country,Artist,Listeners,Code
Afghanistan,Camila Cabello,943561,AFG
Albania,Coldplay,6315295,ALB
Algeria,Cheb Mami,67595,DZA
Andorra,Slowdive,931906,AND
Angola,Coldplay,6315295,AGO
Anguilla,Charlie Puth,968276,AIA
Argentina,Coldplay,6315295,ARG
Armenia,Tigran Hamasyan,98544,ARM
Aruba,Galantis,877279,ABW
Australia,Coldplay,6315295,AUS
Austria,Coldplay,6315295,AUT
Azerbaijan,Coldplay,6315295,AZE
Bahrain,Coldplay,6315295,BHR
Bangladesh,Arnob,7393,BGD
Barbados,Charlie Puth,968276,BRB
Belarus,Coldplay,6315295,BLR
Belgium,Coldplay,6315295,BEL
Belize,Ricky Martin,948112,BLZ
Benin,Charlie Puth,968276,BEN
Bermuda,Coldplay,6315295,BMU
Bhutan,FKA twigs,869195,BTN
Bolivia,Coldplay,6315295,BOL
Bosnia and Herzegovina,Coldplay,6315295,BIH
Botswana,George Ezra,866531,BWA
Brazil,Caetano Veloso,672728,BRA
Bulgaria,Coldplay,6315295,BGR
Burundi,Radiohead,5442689,BDI
Cambodia,Jon Hopkins,750856,KHM
Cameroon,Keyshia Cole,835948,CMR
Canada,Coldplay,6315295,CAN
Cayman Islands,Talk Talk,809009,CYM
Chad,Burial,985160,TCD
Chile,Gepe,82478,CHL
China,Charlie Puth,968276,CHN
Colombia,J Balvin,807131,COL
Costa Rica,Coldplay,6315295,CRI
Croatia,Coldplay,6315295,HRV
Cuba,Los Van Van,88543,CUB
Cyprus,Coldplay,6315295,CYP
Czech Republic,Coldplay,6315295,CZE
Denmark,MØ,782249,DNK
Djibouti,Trippie Redd,704508,DJI
Dominica,CHVRCHES,951022,DMA
Ecuador,Coldplay,6315295,ECU
Egypt,Fairuz,89689,EGY
El Salvador,J Balvin,807131,SLV
Estonia,Coldplay,6315295,EST
Ethiopia,Coldplay,6315295,ETH
Fiji,Rihanna,5502329,FJI
Finland,CMX,96463,FIN
France,Coldplay,6315295,FRA
Gabon,Ólafur Arnalds,964651,GAB
Georgia,Archive,722535,GEO
Germany,Robin Schulz,769898,DEU
Ghana,Davido,83522,GHA
Gibraltar,Coldplay,6315295,GIB
Greece,Coldplay,6315295,GRC
Greenland,Don McLean,957534,GRL
Grenada,Tycho,911547,GRD
Guam,Coldplay,6315295,GUM
Guatemala,Coldplay,6315295,GTM
Guernsey,Coldplay,6315295,GGY
Haiti,Zara Larsson,890086,HTI
Honduras,J Balvin,807131,HND
Hong Kong,Charlie Puth,968276,HKG
Hungary,Coldplay,6315295,HUN
Iceland,Coldplay,6315295,ISL
India,Arijit Singh,69375,IND
Indonesia,Charlie Puth,968276,IDN
Iraq,Coldplay,6315295,IRQ
Ireland,Coldplay,6315295,IRL
Israel,Coldplay,6315295,ISR
Italy,Coldplay,6315295,ITA
Jamaica,Alessia Cara,876530,JAM
Japan,スピッツ,97715,JPN
Jersey,Coldplay,6315295,JEY
Jordan,Fairuz,89689,JOR
Kazakhstan,Coldplay,6315295,KAZ
Kenya,Coldplay,6315295,KEN
Kuwait,Coldplay,6315295,KWT
Kyrgyzstan,Coldplay,6315295,KGZ
Latvia,Coldplay,6315295,LVA
Lebanon,Fairuz,89689,LBN
Lithuania,Coldplay,6315295,LTU
Luxembourg,Coldplay,6315295,LUX
Madagascar,Coldplay,6315295,MDG
Malaysia,Charlie Puth,968276,MYS
Maldives,Coldplay,6315295,MDV
Mali,Travi$ Scott,665620,MLI
Mauritius,Fifth Harmony,856573,MUS
Mexico,Coldplay,6315295,MEX
Monaco,The Civil Wars,737396,MCO
Mongolia,Coldplay,6315295,MNG
Montenegro,Coldplay,6315295,MNE
Morocco,Coldplay,6315295,MAR
Namibia,Camila Cabello,943561,NAM
Nepal,Coldplay,6315295,NPL
Netherlands,Coldplay,6315295,NLD
New Zealand,Coldplay,6315295,NZL
Nigeria,Mr Eazi,99618,NGA
Norway,Alan Walker,806784,NOR
Oman,Coldplay,6315295,OMN
Pakistan,Atif Aslam,76594,PAK
Panama,J Balvin,807131,PAN
Peru,J Balvin,807131,PER
Philippines,Charlie Puth,968276,PHL
Poland,Taco Hemingway,78304,POL
Portugal,Coldplay,6315295,PRT
Puerto Rico,Coldplay,6315295,PRI
Qatar,Coldplay,6315295,QAT
Russian Federation,Coldplay,6315295,RUS
Saudi Arabia,Coldplay,6315295,SAU
Serbia,Coldplay,6315295,SRB
Seychelles,Coldplay,6315295,SYC
Singapore,Charlie Puth,968276,SGP
Slovakia,Coldplay,6315295,SVK
South Africa,Coldplay,6315295,ZAF
Spain,Coldplay,6315295,ESP
Sri Lanka,Charlie Puth,968276,LKA
Swaziland,Adam Lambert,908334,SWZ
Sweden,Zara Larsson,890086,SWE
Switzerland,Coldplay,6315295,CHE
Taiwan,Charlie Puth,968276,TWN
Tajikistan,Pink,820689,TJK
Thailand,Charlie Puth,968276,THA
Togo,Omarion,920306,TGO
Tunisia,Coldplay,6315295,TUN
Turkey,Cem Karaca,93376,TUR
Turkmenistan,Parov Stelar,978744,TKM
Uganda,Coldplay,6315295,UGA
Ukraine,Coldplay,6315295,UKR
United Arab Emirates,Coldplay,6315295,ARE
United Kingdom,Coldplay,6315295,GBR
United States,Coldplay,6315295,USA
Uruguay,Coldplay,6315295,URY
Uzbekistan,Coldplay,6315295,UZB
Vanuatu,The Stranglers,980436,VUT
Venezuela,Coldplay,6315295,VEN
Yemen,Charlie Puth,968276,YEM
Zambia,Coldplay,6315295,ZMB
Zimbabwe,Coldplay,6315295,ZWE
