Country,Songs,Listeners,Code
Afghanistan,Riptide,957665,AFG
Albania,Porcelain,976191,ALB
Algeria,Angel,983300,DZA
Andorra,Thunderstruck,976185,AND
Angola,Pompeii,998271,AGO
Anguilla,Thinkin Bout You,970514,AIA
Argentina,Crimen,94442,ARG
Armenia,Porcelain,976191,ARM
Aruba,Tainted Love,994753,ABW
Australia,Riptide,957665,AUS
Austria,Lonely Boy,963868,AUT
Azerbaijan,Angel,983300,AZE
Bahrain,Counting Stars,963868,BHR
Bangladesh,Let Her Go,913314,BGD
Barbados,Only Girl (In the World),899233,BRB
Belarus,Personal Jesus,804742,BLR
Belgium,Brown Eyed Girl,955671,BEL
Belize,Lonely Boy,963868,BLZ
Benin,You're Beautiful,981023,BEN
Bermuda,Pompeii,998271,BMU
Bhutan,Torn,969915,BTN
Bolivia,Crimen,94442,BOL
Bosnia and Herzegovina,Angel,983300,BIH
Botswana,Rude Boy,985739,BWA
Brazil,Lonely Boy,963868,BRA
Bulgaria,Papercut,983522,BGR
Burundi,Let It Be,997691,BDI
Cambodia,Islands,989671,KHM
Cameroon,Linger,929617,CMR
Canada,Riptide,957665,CAN
Cayman Islands,Tainted Love,994753,CYM
Chad,Islands,989671,TCD
Chile,Close to Me,920105,CHL
China,Counting Stars,963868,CHN
Colombia,Safe and Sound,848480,COL
Costa Rica,Bohemian Rhapsody - Remastered 2011,645536,CRI
Croatia,Angel,983300,HRV
Cuba,You Give Love a Bad Name,983619,CUB
Cyprus,All Star,988347,CYP
Czech Republic,The Passenger,928284,CZE
Denmark,Last Christmas,933033,DNK
Djibouti,Gangsta's Paradise,962769,DJI
Dominica,Papercut,983522,DMA
Ecuador,Safe and Sound,848480,ECU
Egypt,The Unforgiven,926216,EGY
El Salvador,Jeremy,937601,SLV
Estonia,Feels Like We Only Go Backwards,873269,EST
Ethiopia,Tainted Love,994753,ETH
Fiji,Gangsta's Paradise,962769,FJI
Finland,Master of Puppets,982085,FIN
France,Come,99960,FRA
Gabon,Breezeblocks,940403,GAB
Georgia,Angel,983300,GEO
Germany,Tainted Love,994753,DEU
Ghana,You're Beautiful,981023,GHA
Gibraltar,Pompeii,998271,GIB
Greece,Angel,983300,GRC
Greenland,As,93596,GRL
Grenada,All Star,988347,GRD
Guam,Thinkin Bout You,970514,GUM
Guatemala,Instant Crush (feat. Julian Casablancas),819807,GTM
Guernsey,Riptide,957665,GGY
Haiti,Pompeii,998271,HTI
Honduras,Safe and Sound,848480,HND
Hong Kong,Last Christmas,933033,HKG
Hungary,Lonely Boy,963868,HUN
Iceland,Mr. Blue Sky,955457,ISL
India,Counting Stars,963868,IND
Indonesia,Linger,929617,IDN
Iraq,Master of Puppets,982085,IRQ
Ireland,Brown Eyed Girl,955671,IRL
Israel,Breezeblocks,940403,ISR
Italy,Lonely Boy,963868,ITA
Jamaica,Cry Me a River,930468,JAM
Japan,Let It Be,997691,JPN
Jersey,Pompeii,998271,JEY
Jordan,The Unforgiven,926216,JOR
Kazakhstan,Personal Jesus,804742,KAZ
Kenya,Riptide,957665,KEN
Kuwait,...Baby One More Time,901683,KWT
Kyrgyzstan,Группа крови,97777,KGZ
Latvia,Stressed Out,772509,LVA
Lebanon,Islands,989671,LBN
Lithuania,Bohemian Rhapsody - Remastered 2011,645536,LTU
Luxembourg,Riptide,957665,LUX
Madagascar,Torn,969915,MDG
Malaysia,Let Her Go,913314,MYS
Maldives,One,941970,MDV
Mali,Single Ladies (Put a Ring on It),951603,MLI
Mauritius,Chandelier,840834,MUS
Mexico,Evil,820408,MEX
Monaco,Pompeii,998271,MCO
Mongolia,Riptide,957665,MNG
Montenegro,Angel,983300,MNE
Morocco,Riptide,957665,MAR
Namibia,Papercut,983522,NAM
Nepal,Papercut,983522,NPL
Netherlands,Brown Eyed Girl,955671,NLD
New Zealand,Can't Feel My Face,797579,NZL
Nigeria,Mad over You,9465,NGA
Norway,The Funeral,935813,NOR
Oman,Thinkin Bout You,970514,OMN
Pakistan,Instant Crush (feat. Julian Casablancas),819807,PAK
Panama,Chandelier,840834,PAN
Peru,Close to Me,920105,PER
Philippines,Torn,969915,PHL
Poland,Riptide,957665,POL
Portugal,Lonely Boy,963868,PRT
Puerto Rico,Santeria,956279,PRI
Qatar,Lonely Boy,963868,QAT
Russian Federation,I Want to Break Free,828190,RUS
Saudi Arabia,Riptide,957665,SAU
Serbia,Angel,983300,SRB
Seychelles,Pompeii,998271,SYC
Singapore,Riptide,957665,SGP
Slovakia,Breezeblocks,940403,SVK
South Africa,Riptide,957665,ZAF
Spain,Lonely Boy,963868,ESP
Sri Lanka,"Hey, Soul Sister",977715,LKA
Swaziland,All Under One Roof Raving,98638,SWZ
Sweden,Home,974541,SWE
Switzerland,Home,974541,CHE
Taiwan,Let Her Go,913314,TWN
Tajikistan,Blue Jeans,933365,TJK
Thailand,Let Her Go,913314,THA
Togo,Idioteque,988941,TGO
Tunisia,Angel,983300,TUN
Turkey,Angel,983300,TUR
Turkmenistan,Wake Me Up,944934,TKM
Uganda,Pompeii,998271,UGA
Ukraine,Angel,983300,UKR
United Arab Emirates,Riptide,957665,ARE
United Kingdom,Mr. Blue Sky,955457,GBR
United States,The Hills,836500,USA
Uruguay,Crimen,94442,URY
Uzbekistan,Counting Stars,963868,UZB
Vanuatu,Give It Away,992861,VUT
Venezuela,Chandelier,840834,VEN
Yemen,Counting Stars,963868,YEM
Zambia,Pompeii,998271,ZMB
Zimbabwe,Pompeii,998271,ZWE
